date,Total Sleep Time,Deep Sleep Time
2021-04-16,24120,1200
2021-04-17,22740,3480
2021-04-18,24030,750
2021-04-19,27690,960
2021-04-20,26700,5100
2021-04-21,23190,2250
2021-04-22,25080,4320
2021-04-23,25680,5220
2021-04-24,19440,5940
2021-04-25,12450,1740
2021-04-26,21930,1800
2021-04-28,23490,4110
2021-04-29,23430,4710
2021-04-30,25830,2700
2021-05-01,21690,3270
2021-05-02,25590,2610
2021-05-03,24930,3540
2021-05-04,26010,3030
2021-05-05,13830,1830
2021-05-06,28710,3990
2021-05-07,22860,6030
2021-05-08,22890,3660
2021-05-09,25680,2820
2021-05-10,23970,4080
2021-05-11,24030,4260
2021-05-12,25770,2970
2021-05-13,25500,3270
2021-05-14,23310,2250
2021-05-16,26010,2730
2021-05-17,27180,3570
2021-05-18,24030,2280
2021-05-19,26130,3420
2021-05-20,22950,2010
2021-05-21,26670,2940
2021-05-22,23820,1560
2021-05-23,21120,4710
2021-05-24,27180,5400
2021-05-25,23220,2880
2021-05-26,27390,1860
2021-05-27,24990,1500
2021-05-28,28950,3750
2021-05-31,28290,3210
2021-06-01,27510,4530
2021-06-02,26310,3210
2021-06-05,18720,5850
2021-06-06,25500,3810
2021-06-07,25620,4590
2021-06-08,28230,4380
2021-06-09,26190,3990
2021-06-10,18690,2550
2021-06-11,26400,2760
2021-06-12,21570,1320
2021-06-13,27120,2220
2021-06-14,26160,4980
2021-06-15,27450,5130
2021-06-16,21840,1950
2021-06-17,19770,4890
2021-06-18,27360,5520
2021-06-19,25530,5520
2021-06-20,25320,5190
2021-06-22,24840,1620
2021-06-23,23130,3390
2021-06-24,14790,990
2021-06-25,25710,2970
2021-06-26,22470,3000
2021-06-27,24030,1980
2021-06-28,24420,1050
2021-06-29,23190,3330
2021-06-30,27600,4380
2021-07-01,23670,4560
2021-07-02,24540,1440
2021-07-03,25980,6300
2021-07-04,25470,4650
2021-07-05,26400,6240
2021-07-06,16470,3990
2021-07-07,26370,3780
2021-07-08,26070,5310
2021-07-09,29130,4350
